Sr_No,Region ,Woreda,HC,Longitude ,Latitude
1,Gambela,Gambela_Zuria,Abole,34.3989,8.1879
2,Amhara,Bahirdar,Andassa ,37.48655,11.50241
3,Oromia,Asendabo,Asendabo ,37.22329,7.75904
4,Oromia,Batu,Batu,38.71916,7.93833
5,SNNP,Dilla,Dilla,38.3111,6.4007
6,Somali,Erer,Erer,41.3833,9.5614
7,Amhara,Jabie,Jiga,37.70038,10.67261
8,SNNP,ArbaMinch,Lante,37.63912,6.13325
9,Oromia,Fentale,Metehara ,39.92292,8.83826
10,SNNP,ArbaMinch,Secha,37.555,6.03333
11,SNNP,ArbaMinch,Shile,37.11667,6.3
12,Amhara,Woreta,Woreta,37.75625,11.92777
